slug,last_commit_date,language,determination_tool,determination_date
Moyulingjiu/2048,2019-10-22T13:01:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
Sotaneum/Question-Bank-Student,2019-10-22T13:07:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
Guzomap/EthioAR,2019-10-22T13:08:33Z,B4X,github-linguist 8.0.1,2024-10-01T08:09:48Z
Sotaneum/Question-Bank-Teacher,2019-10-22T13:21:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
Lauriita/megabox,2019-10-22T14:02:30Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
opbank81-zz/ProjectVB,2019-10-22T14:18:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
adeladesira31/adeltugas,2019-10-22T15:34:20Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
javerianadim/stringmanipulation,2019-10-22T15:39:45Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
aboujaafar1997/gestiond-absence,2019-10-22T15:11:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
sukehira/php-apache,2019-10-22T15:34:58Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T08:09:48Z
X-SLAYER/FIleUploader-From-Desktop,2019-03-06T22:12:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
jrmilagre/vbnet-gestao-familiar,2019-10-22T16:42:56Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
ryans1230/TicketCounter,2019-10-22T17:02:50Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
pagetelegram/BlackBerry,2019-10-22T17:03:28Z,BASIC,github-linguist 8.0.1,2024-10-01T08:09:48Z
danielchenDA/VBA-Challenge,2019-10-22T17:39:59Z,VBA,github-linguist 8.0.1,2024-10-01T08:09:48Z
FapCod/GestionDeDatosII-ProyectoBasic,2019-10-22T19:13:52Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
zlezero/Game_Of_Life,2019-10-22T19:17:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
MaiconVargas/AtividadeCorreiosTeste,2019-10-22T19:45:40Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
mmurnaneGitHub/DataUpdateTS,2019-10-22T20:35:30Z,VBScript,github-linguist 8.0.1,2024-10-01T08:09:48Z
WhiteHingeLtd/SubSupervisor,2019-10-22T21:33:36Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
nelsonramirocampos/ISW_Grupo2_2019,2019-10-22T22:04:15Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
Dessamol/VBA,2019-10-22T22:55:26Z,VBScript,github-linguist 8.0.1,2024-10-01T08:09:48Z
Eliasds32/2222,2019-10-22T23:20:07Z,VBScript,github-linguist 8.0.1,2024-10-01T08:09:48Z
ericbash/CalendarProject,2019-10-22T23:55:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T08:09:48Z
Sotaneum/Dconvert,2019-10-21T00:52:31Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T10:08:31Z
Sotaneum/CIUGUP-Player,2019-10-21T01:24:28Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T10:08:31Z
cosamagrande/VBA-Challenge,2019-10-21T01:37:34Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Sotaneum/Extract-Title,2019-10-21T02:03:45Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
cyc4/OfficeX64Installation_OneClickFile,2019-10-21T02:06:09Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
Sotaneum/Computer-Alarm,2019-10-21T02:20:25Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
sakuragi214/SE_Grp2,2019-10-21T02:23:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
DualBrain/VbRogue,2019-10-21T03:12:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
fishingguy456/ICS3U-Video-Game,2019-10-21T03:46:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
gfunk68/VBA-challenge,2019-10-21T04:23:51Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Kevin-Caballero/VbEstadistica,2019-10-21T05:11:38Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
andermaestre/VbEstadistica,2019-10-21T05:13:53Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
NoorSalh2017/nVent_Test,2019-10-21T05:20:42Z,BASIC,github-linguist 8.0.1,2024-10-01T10:08:31Z
crisnagandang/calculator-vb-net,2019-10-21T05:49:19Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Kishore27-Code/VBS-Copy-Paste-in-Excel,2019-10-21T06:29:29Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
Kishore27-Code/VBA-Used-Range-Count-the-Number-of-Used-Rows-or-Columns,2019-10-21T06:48:19Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
Kishore27-Code/Create-a-Pop-up-Message-using-VBScript,2019-10-21T06:59:19Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
tonysk08/ProyectoN1-VB,2019-10-21T08:32:31Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
branstoncrumble/HousingCoop,2019-10-21T10:12:37Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
aldo-arch/Offensive,2019-10-21T12:02:33Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
qbizns/vb,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T10:08:31Z
jrmilagre/vbnet-medicina-do-trabalho,2019-10-21T12:48:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
felixilie/solidworks_api,2019-10-21T13:01:38Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T10:08:31Z
ExplosiveTiTaN/Pedra-Papel-Tesoura,2019-10-21T14:36:23Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
mrzeznic/AdressBook,2019-10-21T14:38:13Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
HiroshiOhta/GetNationalHoliday,2019-10-21T14:50:02Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
HiroshiOhta/CreateGanttChart,2019-10-21T15:00:40Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
Mwrench/Projeto-de-BlackJack,2019-10-21T15:02:34Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
FreeHourDevOps/Fast-Food-Management-System,2019-05-30T14:56:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Goncalofigueiredo9/FlappyBirdV2,2019-10-21T15:45:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
JingfengW/New-project,2019-10-21T16:06:55Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Goncaloalexandrefgomes/tiro-ao-alvo,2019-10-21T16:25:35Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
chaochaoachao/VBA-Challenge,2019-10-21T16:26:07Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
Sotaneum/minigame-gun-box,2019-10-21T16:54:36Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T10:08:31Z
Kintas17/WindowsApp5,2019-10-21T17:13:45Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
Sotaneum/minigame-Avoid-boxes,2019-10-21T17:39:53Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T10:08:31Z
nikyayulestari/basic-waffle,2019-10-21T17:47:46Z,BASIC,github-linguist 8.0.1,2024-10-01T10:08:31Z
girl-physicist/BalisticTask,2019-10-21T17:52:38Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
douglasdrake/stock-data,2019-10-21T18:24:45Z,VBA,github-linguist 8.0.1,2024-10-01T10:08:31Z
JoseCarlosMunoz12/Tetris,2019-10-21T22:12:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T10:08:31Z
cemoga/Homework,2019-10-21T23:23:12Z,VBScript,github-linguist 8.0.1,2024-10-01T10:08:31Z
leyrec/VBA_Challenge,2019-10-20T02:37:06Z,VBScript,github-linguist 8.0.1,2024-10-01T11:07:24Z
DwayneWest1/VBA-challenge,2019-10-20T03:21:53Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
Vaishall/VBA-challenge,2019-10-20T03:36:25Z,VBScript,github-linguist 8.0.1,2024-10-01T11:07:24Z
albertram3004/VBA-challenge,2019-10-20T03:38:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
steveminnikin/Cambam-plugin,2019-10-20T07:16:10Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
MetallicBlueDev/EntityGate-vbnet,2019-10-20T10:31:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
heureux/vba,2019-10-20T12:42:09Z,VBScript,github-linguist 8.0.1,2024-10-01T11:07:24Z
a16alejandrobp/AlumnadoFCT,2019-10-20T11:00:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
Nevi77/library-management,2019-10-20T12:49:38Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
Pahnke/Naughts-Crosses-Connect-4,2019-10-20T14:10:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
abhik1698/ComplaintCrimes,2019-10-20T16:14:14Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
hugofer19/KiTeam-Final,2019-10-20T16:57:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
ghthompson/Group-Project-for-Visual-Basic,2019-10-20T17:00:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
philipesan/OPE,2019-10-20T17:12:05Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T11:07:24Z
Sotaneum/Boot-Error-Master-For-Windows-XP,2019-10-20T17:53:14Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T11:07:24Z
MarkLeBlanc256/password-generator,2019-10-20T18:55:50Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
nadyahruth/cop4005hw2,2019-10-20T19:04:35Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
debora2veloso/calculadora,2019-10-20T20:09:52Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
ewarner77/gpb-pump-fixture2-hold,2019-10-20T20:29:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
a16alejandrobp/EleccionDelegado,2019-10-20T21:26:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T11:07:24Z
inlonblaza/pepemon,2019-10-19T00:05:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ernamolo/tugas-logika,2019-10-19T00:28:41Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ernamolo/tugas-logika-1,2019-10-19T02:03:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ernamolo/tugas-logika-ke2,2019-10-19T02:11:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ernamolo/tugas-logika-3,2019-10-19T02:12:47Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
andrewsinnovations/CommanderX16_BF,2019-10-19T02:19:45Z,BASIC,github-linguist 8.0.1,2024-10-01T12:11:53Z
NoorSalh2017/nVent_X1_git,2019-10-19T02:36:16Z,BASIC,github-linguist 8.0.1,2024-10-01T12:11:53Z
jmitterh/VBA-challenge,2019-10-19T02:53:01Z,VBScript,github-linguist 8.0.1,2024-10-01T12:11:53Z
timandrews335/Elevator-Simulation,2019-10-19T03:53:48Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
abhi0498/blood-vb-final,2019-10-19T03:55:51Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
lasantanag/VBA-Challenge,2019-10-19T04:24:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
Reetumundi/VBA-challenge,2019-10-19T04:25:28Z,VBA,github-linguist 8.0.1,2024-10-01T12:11:53Z
paradis-A/caeser,2019-10-19T07:27:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ahennebel/GZP,2019-10-19T07:56:20Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
lexansaga/Barangay_System,2019-10-19T09:04:31Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ISDHN/bdc,2019-10-19T09:07:02Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
yamazaki-m000/template-lambda-api,2019-10-19T09:08:20Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T12:11:53Z
girl-physicist/4k-KMPP-1lab,2019-10-19T09:12:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
faisalachmaddwic29/SISTEM-INFORMASI-PERSEDIAAN,2019-10-19T10:08:30Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
rgvillanueva28/Simple-Student-Record,2019-10-19T12:08:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
ebarti/FanucMirror,2019-10-19T12:58:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T12:11:53Z
kasiewong/VBA-challenge,2019-10-19T13:47:39Z,VBA,github-linguist 8.0.1,2024-10-01T12:11:53Z
JeninaB12/VBA-challenge,2019-10-19T14:02:26Z,VBScript,github-linguist 8.0.1,2024-10-01T12:11:53Z
alexsolano36/VBA-Challenge-HW,2019-10-19T14:17:34Z,VBA,github-linguist 8.0.1,2024-10-01T12:11:53Z
alexsolano36/VBA-CHALLENGE,2019-10-19T14:29:45Z,VBA,github-linguist 8.0.1,2024-10-01T12:11:53Z
idreamsi/royal-dictionary,2019-10-19T14:45:09Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T12:11:53Z
surasb11/VBA_challege,2019-10-19T16:34:01Z,VBScript,github-linguist 8.0.1,2024-10-01T12:11:53Z
Abel-Visual-Studio/VB,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T12:11:53Z
jteickholt/VBA-Challenge,2019-10-19T20:17:49Z,VBScript,github-linguist 8.0.1,2024-10-01T12:11:53Z
danjamlee/VBA-challenge,2019-10-19T22:08:47Z,VBScript,github-linguist 8.0.1,2024-10-01T12:11:53Z
solicia-xu/hw2,2019-10-18T00:18:45Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
yulielfndr/PembayaranSPP,2019-10-18T02:28:31Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
yulielfndr/AplikasiBengkel,2019-10-18T02:34:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
haru996/Clinic-management-system-with-VB,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T13:12:43Z
mariaboone500/FrontPage,2019-10-18T04:18:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
SaintPatrick86/vba,2019-10-18T06:12:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
davedjung/STRING,2019-10-18T06:15:20Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
DraculaXly/PLC,2019-10-18T07:04:32Z,VBScript,github-linguist 8.0.1,2024-10-01T13:12:43Z
ShimmyMySherbet/Minehut,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T13:12:43Z
happyqq/PrivateMaMa,2019-10-18T08:12:11Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T13:12:43Z
Code-Sample-Collection/Visual-Basic-Graphics-Programming-s-code,2019-10-18T09:36:28Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T13:12:43Z
ufocombat/Kanban-Open,2019-10-18T09:54:56Z,None,github-linguist 8.0.1,2024-10-01T13:12:43Z
Goodup302/ClickTest,2019-10-18T10:29:52Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
Goodup302/PocketAgenda,2019-10-18T10:31:04Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
yakenohara/ExcelVBA-RegularExpressionUtility,2019-10-18T11:46:14Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T13:12:43Z
Kishore27-Code/Find-excel-row-and-column-of-value,2019-10-18T12:00:18Z,VBScript,github-linguist 8.0.1,2024-10-01T13:12:43Z
Denno31/vb6app,2019-10-18T10:54:35Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T13:12:43Z
ralf789/Devinette,2019-10-18T13:54:09Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
MensiGhaith/Gestion-de-biblioth-que,2019-10-18T16:25:33Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
yonathans25/TesisMantenimientoAvior,2019-10-18T16:38:07Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
goncerz/rep-vbnet-database,2019-10-18T17:06:30Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
alexandredsferr/estudandovbnet,2019-10-18T18:21:51Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
rubywyest/VBA-challenge,2019-10-18T19:17:34Z,VBA,github-linguist 8.0.1,2024-10-01T13:12:43Z
tharinducs7/Wysheit_Internships,2019-10-18T19:51:02Z,VBScript,github-linguist 8.0.1,2024-10-01T13:12:43Z
FlashyReese/BioFisQui,2019-10-18T21:35:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
fpwirth/02-VBA-Scripting-Challenge,2019-10-18T22:57:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
rjzing/CourseExperience,2019-10-18T23:00:48Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T13:12:43Z
martell96/VBASeemsFun,2019-10-18T23:01:16Z,VBA,github-linguist 8.0.1,2024-10-01T13:12:43Z
dindaputri/VB-Pemasukan-dan-Pengeluaran-Himpunan,2019-10-17T00:29:20Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
vinstel/NK-Project,2019-10-17T00:57:15Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
vpmorais25/TaskKillApp,2019-10-17T02:37:50Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
kennyquast/IpSetter,2019-10-17T02:45:51Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
serfend/project,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T14:07:27Z
levanza1358/Pengumuman-DILMIL,2019-10-17T04:30:03Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
vimors/2_The-VBA-of-Wall-Street,2019-10-17T05:22:12Z,VBA,github-linguist 8.0.1,2024-10-01T14:07:27Z
GonzLittle/PerfRating,2019-10-17T06:22:11Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
marzxxx90/RandomNamePicker,2019-10-17T08:35:49Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
debora2veloso/windowsApp1,2019-10-17T09:57:06Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
Pimenta017/Jogo-dos-Dados,2019-10-17T10:02:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
gk110/test,2019-10-17T10:15:17Z,VBScript,github-linguist 8.0.1,2024-10-01T14:07:27Z
Ricardo1921/Jogo-Do-Puzzle-Final1,2019-10-17T10:46:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
Ruizao/Puzzle,2019-10-17T11:32:35Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
ipetruniv/java_learn,2019-10-17T12:02:12Z,VBScript,github-linguist 8.0.1,2024-10-01T14:07:27Z
datenteiler/Show-Greetings,2019-10-17T12:16:23Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
LAdu3L/Simple-Noita-Save-Manager,2019-10-17T13:39:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
AUGE-Studios/TODD,2019-10-17T14:31:59Z,Visual Basic 6.0,github-linguist 8.0.1,2024-10-01T14:07:27Z
r-ragasa/excel_col_highlighter,2019-10-17T14:34:50Z,VBA,github-linguist 8.0.1,2024-10-01T14:07:27Z
zarrukhbazarov/bodyFatCalculationForArmy,2019-10-17T14:46:45Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
deathstar250/aniveo_app,2019-10-17T15:06:32Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
RameezRahman/VB-Codes-Of-String-Manipulation,2019-10-17T17:17:33Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
precious-207/IFM1B-Group-Project-Changes,2019-10-17T17:31:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
raykibul/Bulk-Sms-Vb,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T14:07:27Z
Blueforcer/QuestDrive,2019-10-17T19:01:08Z,B4X,github-linguist 8.0.1,2024-10-01T14:07:27Z
Believeint/CrudVB,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T14:07:27Z
NeoCast/Vta_Insumos,2019-10-17T20:52:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
Matt-TheBasics/Project2019,2019-10-17T21:18:04Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
PetraLee2019/The-VBA-of-Wall-Street,2019-10-17T21:27:11Z,VBScript,github-linguist 8.0.1,2024-10-01T14:07:27Z
FlorDelBono/Biblioteca,2019-10-17T22:56:25Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
epayne323/VBA-challenge,2019-10-17T23:15:58Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T14:07:27Z
BoxCanyon/Delimited-Text-File-Verification,2019-10-16T01:52:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
zefferno/scripts,2019-10-16T02:01:53Z,VBScript,github-linguist 8.0.1,2024-10-01T15:08:06Z
bangprabs/LearnVB,2019-10-16T03:01:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
bangprabs/Lucky7VB,2019-10-16T03:03:38Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
wildersoft/tetrix,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T15:08:06Z
wildersoft/Serpiente,2019-10-16T05:23:29Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
LynaOlivares/VBA-Challenge,2019-10-16T05:31:13Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
showjim/extract_VBT_Template_Para_Description,2019-10-16T05:50:02Z,VBA,github-linguist 8.0.1,2024-10-01T15:08:06Z
jonasvancrombrugge/testHW,2019-10-16T07:46:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
Kintas17/Projeto2,2019-10-16T12:11:33Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
TejasYesurkar/OLEdb_connection,2019-10-16T13:24:04Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
a3m404/ScreenShot,2019-10-16T13:26:57Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
moripro3/VBA,2019-10-16T13:32:19Z,VBA,github-linguist 8.0.1,2024-10-01T15:08:06Z
a3m404/ColorPicker,2019-10-16T13:47:37Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
huertab/cours_git-github,2019-10-16T15:23:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
sudhan247/Visual-Basic,2019-10-16T15:58:44Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
ntr8346/ByteCryptform,2019-10-16T16:18:28Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
zoeliuoo/VBA-challenge,2019-10-16T16:20:35Z,VBA,github-linguist 8.0.1,2024-10-01T15:08:06Z
BrandenSebring/ADBTool2,2019-10-16T16:26:05Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
Roogry/inventaris,2019-10-16T15:57:11Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
priyathamms/onl,2019-10-16T17:10:18Z,VBScript,github-linguist 8.0.1,2024-10-01T15:08:06Z
AmauryMichel/Game-of-life,2019-10-16T19:35:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
remov-b4-flight/trash,2019-10-16T19:49:36Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
jpcortezma99/TrabajoTitulo3,Unknown (repo deleted or no commits),Unknown,github-linguist 8.0.1,2024-10-01T15:08:06Z
jpcortezma99/ProyectoVideojuegos2,2019-10-16T20:13:02Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
matejko990/WinCenterApp,2019-02-12T14:34:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
Hornegam/Script_de_Configuracao_de_Proxy,2019-10-16T21:41:56Z,VBScript,github-linguist 8.0.1,2024-10-01T15:08:06Z
matejko990/Multithreading---BackgroundWorker,2019-10-16T21:47:35Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T15:08:06Z
bobsupercow/BitManipulation,2019-10-15T00:41:26Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T16:08:21Z
appelmunt10/kurama-go,2019-10-15T03:19:01Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T16:08:21Z
appelmunt10/test,2019-10-15T03:41:39Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T16:08:21Z
jbtrahin/Module2-Challenge-JB-Trahin,2019-10-15T04:16:12Z,VBScript,github-linguist 8.0.1,2024-10-01T16:08:21Z
Kat9-123/Keylogger,2019-10-15T06:09:16Z,VBScript,github-linguist 8.0.1,2024-10-01T16:08:21Z
yokomaru/cybouzAutoLogin,2019-10-15T08:34:38Z,VBScript,github-linguist 8.0.1,2024-10-01T16:08:21Z
morliran/VBAndSQL-BasketballManagment,2019-10-15T08:40:17Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T16:08:21Z
bobsupercow/BitmapMasker,2019-10-15T09:43:08Z,Visual Basic .NET,github-linguist 8.0.1,2024-10-01T16:08:21Z
